[2024-11-03 18:09:07,838: INFO: main: Logging is implemented]
[2024-11-03 23:01:56,296: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-03 23:01:56,309: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-03 23:11:25,611: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-03 23:11:25,617: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-03 23:21:35,282: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-03 23:21:35,295: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-03 23:21:35,303: INFO: common: created directory at: artifacts]
[2024-11-03 23:21:35,305: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-03 23:21:36,275: INFO: 227420655: File is downloaded]
[2024-11-03 23:26:35,421: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-03 23:26:35,425: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-03 23:26:35,427: INFO: common: created directory at: artifacts]
[2024-11-03 23:26:35,432: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-03 23:26:35,435: INFO: 227420655: File already exits]
[2024-11-03 23:26:41,913: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-03 23:26:41,918: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-03 23:26:41,919: INFO: common: created directory at: artifacts]
[2024-11-03 23:26:41,920: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-03 23:26:41,924: INFO: 227420655: File already exits]
[2024-11-03 23:26:42,870: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-03 23:26:42,874: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-03 23:26:42,877: INFO: common: created directory at: artifacts]
[2024-11-03 23:26:42,878: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-03 23:26:42,882: INFO: 227420655: File already exits]
